raw_episode,checkpoint,step,keyframe_name,horizon,pred_first,pred_last,pred_min,pred_max,pred_range,expert_first,expert_last,expert_min,expert_max,turn_count,turn_indices,close_threshold,reopen_delta,close_open_close,first_close_idx,reopen_idx,reclose_idx,first_close_value,reopen_value,reclose_value,max_reopen_after_close
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,5,base_speed_change+manual:start,100,-1.5687328577041626,-1.571349859237671,-1.573359727859497,-1.565503478050232,0.007856249809265137,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,56,base_speed_change+manual:stop_before_door,100,-1.5685384273529053,-1.5515367984771729,-1.5727899074554443,-1.5515367984771729,0.021253108978271484,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,131,manual:pregrasp,100,-1.5673611164093018,-0.2975435256958008,-1.5732542276382446,-0.29482102394104004,1.2784332036972046,-1.5707963705062866,-0.3141592741012573,-1.5707963705062866,-0.3141592741012573,0,[],-0.45,0.15,False,45,-1,-1,-0.4283214807510376,nan,nan,0.025401175022125244
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,156,gripper_handle_contact+manual:grasp,100,-1.574415683746338,-0.5961491465568542,-1.574415683746338,-0.29422760009765625,1.2801880836486816,-1.5693085193634033,-0.6079351902008057,-1.5693085193634033,-0.3141592741012573,0,[],-0.45,0.15,False,19,92,-1,-0.41623836755752563,-0.46162551641464233,nan,0.16739791631698608
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,180,handle_speed_change,100,-0.2948991656303406,-1.1225602626800537,-1.1225602626800537,-0.29272449016571045,0.8298357725143433,-0.3156471252441406,-1.0812292098999023,-1.0812292098999023,-0.3141592741012573,0,[],-0.45,0.15,False,0,66,-1,-0.2948991656303406,-0.45188212394714355,nan,0.1591576337814331
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,237,handle_speed_change+manual:rotate+door_hinge_speed_change,100,-0.3176969289779663,-1.1827821731567383,-1.188008427619934,-0.3176969289779663,0.8703114986419678,-0.334606796503067,-1.1780972480773926,-1.1780972480773926,-0.334606796503067,0,[],-0.45,0.15,False,0,13,-1,-0.3176969289779663,-0.48560887575149536,nan,0.16791194677352905
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,253,handle_speed_change,100,-0.5438921451568604,-1.1785756349563599,-1.1836172342300415,-0.5438921451568604,0.6397250890731812,-0.5674540996551514,-1.1780972480773926,-1.1780972480773926,-0.5674540996551514,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,271,handle_speed_change,100,-0.9088757038116455,-1.173810601234436,-1.1831672191619873,-0.9088757038116455,0.2742915153503418,-0.9444550275802612,-1.1780972480773926,-1.1780972480773926,-0.9444550275802612,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,319,arm_joint_motion_fast+door_hinge_speed_change,100,-1.173027753829956,-1.5748224258422852,-1.594098687171936,-1.1597787141799927,0.43431997299194336,-1.1780972480773926,-1.5707963705062866,-1.5707963705062866,-1.1780972480773926,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_gating_keyframe_w3_r3_sample30_chunk100_exec50_bs16_0630_2234/050000/model_latest.pt,341,arm_joint_motion_fast,100,-1.1784300804138184,-1.572933316230774,-1.599021077156067,-1.1458972692489624,0.4531238079071045,-1.1780972480773926,-1.5707963705062866,-1.5707963705062866,-1.1780972480773926,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
