idx,step,nx_vx,nx_vyaw,nx_ee_x,nx_ee_y,nx_ee_z,nx_gripper,expert_ee_x,expert_ee_y,expert_ee_z,expert_gripper
0,0,0.09235184639692307,0.0,0.34397995471954346,0.0014215949922800064,0.319525808095932,-1.573767900466919,0.3454433083534241,0.0013993409229442477,0.31890371441841125,-1.5707963705062866
1,1,0.10658815503120422,0.0,0.34366899728775024,0.0015765577554702759,0.3203422725200653,-1.5749950408935547,0.34518325328826904,0.00102522864472121,0.3187447488307953,-1.5707963705062866
2,2,0.12199398130178452,0.0,0.34272849559783936,0.0022656340152025223,0.3196167051792145,-1.5738193988800049,0.3449341654777527,0.000874647288583219,0.3183956444263458,-1.5707963705062866
3,3,0.13732647895812988,0.0,0.34207069873809814,0.0024596061557531357,0.3195316791534424,-1.5748059749603271,0.3446449935436249,0.000781930168159306,0.318249374628067,-1.5707963705062866
4,4,0.15100489556789398,0.0,0.34144237637519836,0.0020231883972883224,0.31975170969963074,-1.5751256942749023,0.3443368077278137,0.000732569838874042,0.31822314858436584,-1.5707963705062866
5,5,0.17201562225818634,0.0,0.34090229868888855,0.0025809668004512787,0.31979599595069885,-1.5750312805175781,0.34402620792388916,0.0007078449707478285,0.31825020909309387,-1.5707963705062866
10,10,0.23685604333877563,0.0,0.3383628726005554,0.00264093279838562,0.31977275013923645,-1.5751384496688843,0.3426460027694702,0.0006488978397101164,0.31840166449546814,-1.5707963705062866
20,20,0.30190932750701904,0.0,0.3375876247882843,0.0023193378001451492,0.3199831247329712,-1.5745607614517212,0.3407266139984131,0.0006439007120206952,0.31840023398399353,-1.5707963705062866
50,50,0.0036105290055274963,0.0,0.5016800761222839,-0.09541038423776627,0.3935123682022095,-1.3989953994750977,0.34026336669921875,0.0006439656717702746,0.3184003531932831,-1.5707963705062866
100,100,0.02031537890434265,0.0,0.5426944494247437,-0.11262492835521698,0.4014909863471985,-1.337048053741455,0.5044656991958618,-0.08596004545688629,0.4137392044067383,-1.5707963705062866
200,200,0.0005837008357048035,0.0,0.5689014792442322,-0.1276746690273285,0.4085680842399597,-1.3452051877975464,0.7823469638824463,-0.19614417850971222,0.49327215552330017,-0.3141592741012573
300,300,0.0350450724363327,0.0,0.705262303352356,-0.18533076345920563,0.41214150190353394,-0.704289436340332,0.943033754825592,-0.12988117337226868,0.46017903089523315,-0.9730640053749084
400,400,0.05751606076955795,0.0,0.703810453414917,-0.20450226962566376,0.38820940256118774,-0.7164759039878845,0.046900466084480286,0.4420453608036041,0.4836597144603729,-1.5707963705062866
499,499,0.10200107842683792,0.0,0.5990201830863953,-0.0947703868150711,0.37267428636550903,-0.9281448125839233,0.34537237882614136,-0.000553755322471261,0.31824228167533875,-1.5707963705062866
500,500,0.06360981613397598,0.0,0.6416517496109009,-0.13950026035308838,0.37447476387023926,-0.9101893901824951,nan,nan,nan,nan
1000,1000,0.05065062642097473,0.0,0.7433795928955078,-0.23017588257789612,0.40657544136047363,-0.6777499914169312,nan,nan,nan,nan
1500,1500,0.004248723387718201,0.0,0.5497084856033325,-0.12253639101982117,0.4042433202266693,-1.3745466470718384,nan,nan,nan,nan
1639,1639,0.06336596608161926,0.0,0.7900447249412537,-0.19944410026073456,0.4264393150806427,-0.3683984875679016,nan,nan,nan,nan
