raw_episode,checkpoint,step,keyframe_name,horizon,pred_first,pred_last,pred_min,pred_max,pred_range,expert_first,expert_last,expert_min,expert_max,turn_count,turn_indices,close_threshold,reopen_delta,close_open_close,first_close_idx,reopen_idx,reclose_idx,first_close_value,reopen_value,reclose_value,max_reopen_after_close
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,5,base_speed_change+manual:start,100,-1.5724589824676514,-1.5684691667556763,-1.5735234022140503,-1.5650887489318848,0.008434653282165527,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,56,base_speed_change+manual:stop_before_door,100,-1.5679197311401367,-1.570540189743042,-1.571993350982666,-1.5644376277923584,0.007555723190307617,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,131,manual:pregrasp,100,-1.566896677017212,-0.2994425296783447,-1.5766088962554932,-0.29154276847839355,1.2850661277770996,-1.5707963705062866,-0.3141592741012573,-1.5707963705062866,-0.3141592741012573,0,[],-0.45,0.15,False,45,-1,-1,-0.40974682569503784,nan,nan,0.026491940021514893
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,156,gripper_handle_contact+manual:grasp,100,-1.5622730255126953,-0.5699238777160645,-1.5622730255126953,-0.29896777868270874,1.2633051872253418,-1.5693085193634033,-0.6079351902008057,-1.5693085193634033,-0.3141592741012573,1,[96],-0.45,0.15,False,20,93,-1,-0.4237931966781616,-0.4513803720474243,nan,0.15241259336471558
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,180,handle_speed_change,100,-0.30922502279281616,-1.0744414329528809,-1.0744414329528809,-0.29216521978378296,0.7822762131690979,-0.3156471252441406,-1.0812292098999023,-1.0812292098999023,-0.3141592741012573,0,[],-0.45,0.15,False,0,69,-1,-0.30922502279281616,-0.4522562623023987,nan,0.16009104251861572
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,237,handle_speed_change+manual:rotate+door_hinge_speed_change,100,-0.3155469298362732,-1.1624526977539062,-1.1818149089813232,-0.3155469298362732,0.86626797914505,-0.334606796503067,-1.1780972480773926,-1.1780972480773926,-0.334606796503067,0,[],-0.45,0.15,False,0,12,-1,-0.3155469298362732,-0.47796785831451416,nan,0.16242092847824097
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,253,handle_speed_change,100,-0.5614681243896484,-1.171933889389038,-1.1812090873718262,-0.5614681243896484,0.6197409629821777,-0.5674540996551514,-1.1780972480773926,-1.1780972480773926,-0.5674540996551514,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,271,handle_speed_change,100,-0.9527868032455444,-1.1654667854309082,-1.182611107826233,-0.9527868032455444,0.22982430458068848,-0.9444550275802612,-1.1780972480773926,-1.1780972480773926,-0.9444550275802612,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,319,arm_joint_motion_fast+door_hinge_speed_change,100,-1.1767451763153076,-1.5770503282546997,-1.5981359481811523,-1.1531373262405396,0.4449986219406128,-1.1780972480773926,-1.5707963705062866,-1.5707963705062866,-1.1780972480773926,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,341,arm_joint_motion_fast,100,-1.1790828704833984,-1.5723707675933838,-1.5958430767059326,-1.1452003717422485,0.4506427049636841,-1.1780972480773926,-1.5707963705062866,-1.5707963705062866,-1.1780972480773926,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
/home/sivan/whole_body/visual_whole_body/high-level/data/door_dp_raw/a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100/episode_000000.npz,/home/sivan/whole_body/visual_whole_body/high-level/dp/logs/door-auto-wrapped/leroact_a2w_state10_wc4_pitch_depthnoise_camerarand_noblur_100_chunk100_exec50_bs16_0628_0249/050000/model_latest.pt,385,base_speed_change,100,-1.5871150493621826,-1.570651650428772,-1.5906891822814941,-1.5656276941299438,0.025061488151550293,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.5707963705062866,0,[],-0.45,0.15,False,-1,-1,-1,nan,nan,nan,0.0
